date,sample_de,pfba,pf_pe_a,pf_hx_a,pf_hp_a,pfoa,pfna,pfda,pf_un_da,pf_do_da,pf_tr_da,pf_te_da,pfbs,pf_pe_s,pf_hx_s,pf_hp_s,pfos,pfns,pfds,x4_2_fts,x6_2_fts,x8_2_fts,pfosa,n_me_fosaa,n_et_fosaa,hfpo_da2_gen_x_frd_903,adona,x9cl_pf3ons,x11cl_pf3o_ud_s,n_me_fosa,n_et_fosa,n_me_fose,n_et_fose
2022-12-12T00:00:00Z,Donau Budapest Nord,5.27,8.02,2.17,1.13,2.61,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.8,1e-4,0.52,1e-4,2.3,1e-4,1e-4,1e-4,0.87,1e-4,1e-4,1e-4,1e-4,1.16,26.56,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-12-12T00:00:00Z,Donau Budapest Süd,4.42,4.1,2.04,1.07,2.17,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.5,1e-4,0.45,1e-4,3.43,1e-4,1e-4,1e-4,0.69,1e-4,1e-4,1e-4,1e-4,1.04,15.84,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2023-01-11T00:00:00Z,Donau Budapest Nord,2.37,2.16,1.62,0.7,2.05,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.1,1e-4,0.45,1e-4,1.48,1e-4,1e-4,1e-4,0.48,1e-4,1e-4,1e-4,1e-4,0.77,12.56,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2023-01-11T00:00:00Z,Donau Budapest Süd,4.81,2.79,2.26,1.15,2.24,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,22,1e-4,0.5,1e-4,1.62,1e-4,1e-4,1e-4,0.69,1e-4,1e-4,1e-4,1e-4,0.85,9.7,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2023-01-12T00:00:00Z,Ipoly,7.43,0.98,1e-4,0.58,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.34,1e-4,1e-4,1e-4,0.28,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,NA
2023-02-16T00:00:00Z,Donau Budapest Nord,3.76,2.01,1.77,0.83,2.22,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.49,1e-4,0.51,1e-4,1.61,1e-4,1e-4,1e-4,0.92,1e-4,1e-4,1e-4,1e-4,0.79,9.7,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2023-02-16T00:00:00Z,Donau Budapest Süd,3.58,1.8,1.54,0.64,1.7,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.21,1e-4,0.39,1e-4,1.77,1e-4,1e-4,1e-4,0.86,1e-4,1e-4,1e-4,1e-4,0.69,17.02,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2023-02-21T00:00:00Z,Morava,5.35,1.53,2.04,1.02,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.74,1e-4,0.46,1e-4,2.52,1e-4,1e-4,1e-4,0.5,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2023-02-21T00:00:00Z,Svratka,5.56,1.67,3.57,0.91,1.12,1.32,1e-4,1e-4,1e-4,1e-4,1e-4,1.18,1e-4,0.3,1e-4,2.08,1e-4,1e-4,1e-4,3.53,1.74,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2023-02-21T00:00:00Z,Thaya,10.77,2.91,2.86,1.62,1.29,0.85,29,1e-4,1e-4,1e-4,1e-4,1.2,1e-4,0.32,1e-4,2.34,1e-4,1e-4,1e-4,0.29,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
